tstamp	bike	bikeCity	active	repair	missed	comments	description	bc_serial	real_battery	last_communication	last_communication_sim	last_communication_reason	last_rental_changed	last_rental	place_name	lat	lng	lastLat	lastLng	accuracy	location_type
2025-11-15 11:03	410059	408	0	1	0	"no acelera fallo 20e"	""	10000138129	3552	"2025-02-28 18:52:02"	"2025-02-28 18:52:02"	"HEARTBEAT"	1714985387	1714985387	"Patinetas para reparar"	28,146930108263337	-15,410985946655273				
2025-10-21 12:34	410058	408	0	0	0	""	""	10000144576	3552	"2025-05-18 11:38:53"	"2025-05-18 11:38:53"	"HEARTBEAT"	1745248900	1745248900	"Patinetas arregladas"	28,146930108263	-15,410985946655				
2025-10-21 12:34	410057	408	0	0	0	""	""	10000133716	3552	"2025-05-16 16:48:29"	"2025-05-16 16:48:29"	"HEARTBEAT"	1745269325	1745269325	"Patinetas arregladas"	28,146930108263	-15,410985946655				
2025-11-15 11:03	410056	408	0	0	0	"robada el 20 de septiembre y recuperada el 24 de octubre"	"Marcada como GPS_ISSUE en Tier. En NB aparece como última comunicación 2023-09-22 13:25:41"	10000140099		"2025-02-25 17:02:28"					"Patinetas para reparar"	28,146930108263337	-15,410985946655273				
2025-10-21 12:34	410055	408	0	1	0	"swap"	""	10000129082	3552	"2025-05-11 19:13:51"	"2025-05-11 19:13:51"	"HEARTBEAT"	1745169155	1745169155	"Patinetas arregladas"	28,146930108263	-15,410985946655				
2025-10-21 12:34	410054	408	0	0	0	""	""	10000138505	3552	"2025-06-05 16:58:39"	"2025-06-05 16:58:39"	"HEARTBEAT"	1745165680	1745165680	"Patinetas arregladas"	28,146930108263	-15,410985946655				
2025-11-15 11:03	410053	408	0	0	0	""	"solo pita y a veces no enciende la luz,no se abre caja de casco,no suelta bateria,no se enciende"	10000152408	3552	"2025-03-30 10:04:57"	"2025-03-30 10:04:57"	"HEARTBEAT"	1728248499	1728248499	"Patinetas para reparar"	28,146930108263337	-15,410985946655273				
2025-10-21 12:34	410052	408	0	0	0	""	""	10000128995	3552	"2025-05-15 18:13:51"	"2025-05-15 18:13:51"	"HEARTBEAT"	1745241492	1745241492	"Patinetas arregladas"	28,146930108263	-15,410985946655				
2025-11-15 11:03	410051	408	0	1	0	"holgura direccion, carcasa manillar rota"	"09.07.2024 20:20:16: Returned by tier"	10000138805	3552	"2025-03-01 14:51:27"	"2025-03-01 14:51:27"	"HEARTBEAT"	1720549216	1720549216	"Patinetas para reparar"	28,146930108263337	-15,410985946655273				
2025-11-15 11:03	410050	408	0	1	0	"Funciona el aviso sonoro pero no enciende luz, ni abre cajón de casco ni se desbloquea. No suelta batería tampoco."	""	10000129962	3552	"2025-02-27 17:19:29"	"2025-02-27 17:19:29"	"HEARTBEAT"	1702037706	1702037706	"Patinetas para reparar"	28,146930108263337	-15,410985946655273				
2025-10-21 12:34	410049	408	0	0	0	""	""	10000155264	3552	"2025-05-26 19:00:29"	"2025-05-26 19:00:29"	"HEARTBEAT"	1742671958	1742671958	"Patinetas arregladas"	28,146930108263	-15,410985946655				
2025-11-15 11:03	410048	408	0	0	0	"solo funciona luz y pita"	"14.08.2024 14:05:06: Returned by tier13.08.2024 17:49:16: Returned by employee"	10000148676	3552	"2025-02-27 11:26:23"	"2025-02-27 11:26:23"	"HEARTBEAT"	1723637106	1723637106	"Patinetas para reparar"	28,146930108263337	-15,410985946655273				
2025-11-15 11:03	410047	408	0	1	0	"no ejecuta ninguna de las ordenes ni se ubica correctamente. Horas en el furgón, de paseo, y sigue igual"	""	10000140860	4056	"2025-02-27 10:52:08"	"2025-02-27 10:52:08"	"HEARTBEAT"	1738328914	1738328914	"Patinetas para reparar"	28,146930108263337	-15,410985946655273				
2025-11-15 11:03	410046	408	0	1	0	"Funciona el aviso sonoro pero no abre cajón de casco ni desbloquea la patineta. Tampoco suelta la batería."	"no sube carga del 32%"	10000174847	3544	"2025-02-27 10:11:25"	"2025-02-27 10:11:25"	"HEARTBEAT"	1698790443	1698790443	"Patinetas para reparar"	28,146930108263337	-15,410985946655273				
2025-10-21 12:34	410045	408	0	0	0	""	""	10000134687	3552	"2025-05-28 12:19:43"	"2025-05-28 12:19:43"	"HEARTBEAT"	1744743864	1744743864	"Patinetas arregladas"	28,146930108263	-15,410985946655				
